OTU_id	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	6	7	8	9
0	1.000	0.219	-0.368	-0.456	-0.472	-0.449	-0.447	-0.489	-0.499	-0.499	-0.469	-0.540	-0.493	-0.518	-0.418	-0.461	-0.513	-0.491	-0.514	-0.539	-0.432	-0.418	-0.512	-0.523	-0.537	-0.444	-0.443	-0.490	-0.354	-0.427	-0.511	-0.487	-0.515	-0.409	-0.490	-0.453	-0.452	-0.481	-0.490	-0.475	-0.471	-0.437	-0.447	-0.464	-0.566	-0.513	-0.438	-0.411	-0.386	-0.511
1	0.219	1.000	-0.081	-0.084	-0.068	-0.050	-0.086	-0.091	-0.087	-0.200	-0.071	-0.227	-0.135	-0.133	-0.073	-0.133	-0.063	-0.114	-0.149	-0.074	-0.041	-0.188	-0.078	-0.023	-0.086	-0.157	-0.142	-0.087	-0.074	-0.098	-0.087	-0.162	-0.188	-0.081	-0.133	-0.184	-0.084	-0.171	-0.116	-0.137	-0.138	-0.132	-0.113	-0.098	-0.044	-0.115	-0.129	-0.033	-0.058	-0.194
10	-0.368	-0.081	1.000	-0.312	0.260	0.222	0.237	0.157	0.194	0.114	0.155	0.201	0.199	0.196	0.279	0.210	0.157	0.176	0.126	0.265	0.187	0.152	0.252	0.197	0.218	0.073	0.174	0.184	0.174	0.177	0.182	0.129	0.202	0.243	0.138	0.094	0.193	0.155	0.168	0.213	0.179	0.185	0.154	0.167	0.156	0.237	0.165	0.131	0.135	0.170
11	-0.456	-0.084	-0.312	1.000	0.201	0.200	0.196	0.241	0.222	0.319	0.226	0.296	0.274	0.327	0.175	0.225	0.305	0.224	0.311	0.234	0.168	0.262	0.202	0.295	0.256	0.292	0.247	0.236	0.207	0.202	0.212	0.281	0.203	0.180	0.291	0.270	0.202	0.180	0.268	0.202	0.265	0.190	0.165	0.257	0.331	0.190	0.135	0.138	0.217	0.239
12	-0.472	-0.068	0.260	0.201	1.000	0.481	0.276	0.279	0.189	0.106	0.193	0.245	0.202	0.257	0.227	0.132	0.208	0.168	0.175	0.217	0.165	0.201	0.246	0.301	0.276	0.248	0.111	0.305	0.168	0.263	0.252	0.211	0.219	0.168	0.182	0.207	0.127	0.142	0.289	0.254	0.144	0.272	0.260	0.156	0.300	0.221	0.163	0.205	0.165	0.228
13	-0.449	-0.050	0.222	0.200	0.481	1.000	0.233	0.290	0.161	0.205	0.276	0.227	0.205	0.243	0.148	0.207	0.274	0.152	0.257	0.241	0.119	0.187	0.234	0.249	0.306	0.175	0.146	0.227	0.251	0.161	0.257	0.228	0.137	0.092	0.229	0.201	0.152	0.126	0.283	0.204	0.202	0.326	0.263	0.162	0.342	0.201	0.217	0.150	0.129	0.213
14	-0.447	-0.086	0.237	0.196	0.276	0.233	1.000	-0.049	0.176	0.216	0.176	0.215	0.248	0.266	0.253	0.241	0.204	0.211	0.173	0.182	0.159	0.226	0.256	0.242	0.192	0.185	0.184	0.168	0.175	0.157	0.200	0.219	0.248	0.168	0.179	0.230	0.244	0.206	0.239	0.164	0.236	0.150	0.205	0.248	0.262	0.220	0.176	0.212	0.218	0.275
15	-0.489	-0.091	0.157	0.241	0.279	0.290	-0.049	1.000	0.185	0.164	0.253	0.254	0.234	0.193	0.148	0.324	0.290	0.189	0.331	0.269	0.158	0.163	0.239	0.260	0.342	0.215	0.196	0.247	0.171	0.211	0.229	0.197	0.256	0.237	0.236	0.207	0.189	0.242	0.253	0.232	0.223	0.264	0.306	0.149	0.235	0.293	0.185	0.109	0.197	0.209
16	-0.499	-0.087	0.194	0.222	0.189	0.161	0.176	0.185	1.000	0.165	0.222	0.290	0.243	0.277	0.202	0.221	0.283	0.211	0.282	0.320	0.263	0.165	0.334	0.321	0.252	0.235	0.333	0.236	0.145	0.178	0.258	0.258	0.336	0.195	0.236	0.245	0.235	0.239	0.260	0.315	0.196	0.110	0.233	0.299	0.293	0.234	0.239	0.239	0.121	0.263
